Date,portfolio_return,historical_var_99,ewma_var_99
2015-01-05,0.002313981842975243,,
2015-01-06,0.0034659174480986326,,
2015-01-07,0.0005922721656220547,,
2015-01-08,-0.0009097341600143197,,
2015-01-09,0.00447584669348573,,
2015-01-12,0.0022962621769945014,,
2015-01-13,-0.0012032559126429199,,
2015-01-14,0.0012883328284404526,,
2015-01-15,0.006599059609740921,,
2015-01-16,0.0013703124839161917,,
2015-01-20,0.006220925609535999,,
2015-01-21,-0.0016450436787107672,,
2015-01-22,0.002083500197303234,,
2015-01-23,0.001095048970872048,,
2015-01-26,-0.0007726706925322399,,
2015-01-27,0.001409451972434628,,
2015-01-28,-4.995593921202073e-05,,
2015-01-29,-0.0054310425555148985,,
2015-01-30,0.007077328051806675,,
2015-02-02,-0.000288274532673105,,
2015-02-03,-0.0032441608848063465,,
2015-02-04,0.0012299884958174578,,
2015-02-05,0.0012345957565147226,,
2015-02-06,-0.012698349146714239,,
2015-02-09,-0.00043120048326739113,,
2015-02-10,-0.0007104777043739799,,
2015-02-11,-0.001985643542144633,,
2015-02-12,0.004401526066348537,,
2015-02-13,-0.0009178735746012912,,
2015-02-17,-0.007518491937919359,,
2015-02-18,0.003618517983802372,,
2015-02-19,-0.0026611946158034304,,
2015-02-20,0.0006422454858038497,,
2015-02-23,0.0041687153787548946,,
2015-02-24,0.004175224059922723,,
2015-02-25,0.0025469706956265936,,
2015-02-26,-0.0049720608263691185,,
2015-02-27,0.002029538892019223,,
2015-03-02,-0.0059596509314858714,,
2015-03-03,-0.0020252393526222438,,
2015-03-04,-0.002888726901357464,,
2015-03-05,-0.00037304914081071067,,
2015-03-06,-0.01722574220802542,,
2015-03-09,0.0047741634387472144,,
2015-03-10,-0.002139365988234321,,
2015-03-11,-0.0009806658656641208,,
2015-03-12,0.0014928392304528252,,
2015-03-13,-0.004046662835858661,,
2015-03-16,0.0059155333668668994,,
2015-03-17,-0.0008963243109201492,,
2015-03-18,0.015450960939808713,,
2015-03-19,-0.0060906363976630075,,
2015-03-20,0.008677852563735789,,
2015-03-23,0.001382179504137371,,
2015-03-24,-2.4250666667557496e-05,,
2015-03-25,-0.004735776558025951,,
2015-03-26,-0.0037399812984614256,,
2015-03-27,0.0033967008291005745,,
2015-03-30,-0.0016193016694230566,,
2015-03-31,-0.0005637331747520681,,
2015-04-01,0.005743713982544696,,0.010988700057649266
2015-04-02,-0.0022682582782832528,,0.011145349807724012
2015-04-06,0.003750572873663538,,0.010882846290561504
2015-04-07,4.132696352006056e-05,,0.010765586094728991
2015-04-08,0.00046226328452532157,,0.010437649539504937
2015-04-09,-0.0066275397525255245,,0.010123104436675853
2015-04-10,0.0031283094522232442,,0.010516245710264965
2015-04-13,-0.0017205318151992666,,0.010350540578164575
2015-04-14,0.0024476159738801464,,0.010083000341719016
2015-04-15,0.003556102489141777,,0.009874825798250901
2015-04-16,-0.0006799533102393564,,0.009786099254915429
2015-04-17,0.0019067836446919006,,0.00949588338652826
2015-04-20,-0.0027108594273518756,,0.009270495936551252
2015-04-21,0.00025840535431227463,,0.009119858092966672
2015-04-22,-0.004592607010271088,,0.008843256478782879
2015-04-23,0.003592275645739074,,0.008964366536111072
2015-04-24,0.0008927619790120027,,0.008929083086720909
2015-04-27,0.0036850970620911465,,0.00867200195181923
2015-04-28,-0.00032792279089997054,,0.008666082909639838
2015-04-29,-0.004955364107077532,,0.008404156767185686
2015-04-30,-0.0059840758864449835,,0.008623549713386138
2015-05-01,-0.005076151605995949,,0.009029473853074323
2015-05-04,-0.0004215727284083483,,0.009219897696499219
2015-05-05,-0.001737265800063925,,0.008942249828331122
2015-05-06,-0.004125457853170888,,0.00872616857156535
2015-05-07,0.002799559562437404,,0.008780870653815272
2015-05-08,0.00782992462497627,,0.008661548498156367
2015-05-11,-0.0068807007077596564,,0.00950939174871067
2015-05-12,0.0023864690870375018,,0.010018786206613632
2015-05-13,0.0026491852032517692,,0.009808304286118454
2015-05-14,0.004812976295938843,,0.00962858051190088
2015-05-15,0.00576263858242363,,0.009729794284868176
2015-05-18,-0.005398043899846572,,0.009988586263660585
2015-05-19,-0.00751909679432612,,0.010161069633180838
2015-05-20,0.001210497604457239,,0.01074294060768036
2015-05-21,0.005249642495832241,,0.01043848317074051
2015-05-22,-0.003080788034760174,,0.010553336751957042
2015-05-26,-0.0020080113100906074,,0.010381352598834439
2015-05-27,0.002045928750691983,,0.010129926648591706
2015-05-28,-0.0013863252502154034,,0.00989028227475138
2015-05-29,-0.0008431968805451273,,0.009621470205388939
2015-06-01,-0.0042652573666117416,,0.009340727638603065
2015-06-02,-0.0012728884333992998,,0.00937665018914402
2015-06-03,-0.005602677236055521,,0.009119889819795996
2015-06-04,0.0010338805409128905,,0.009400787538716806
2015-06-05,-0.006088886601861421,,0.00913342254131851
2015-06-08,4.535650735880501e-07,,0.009510670464751961
2015-06-09,-0.0015605601801076618,,0.009220937132122714
2015-06-10,0.0038138259482740195,,0.008984148902384227
2015-06-11,0.005448626531193202,,0.008977476428348341
2015-06-12,-0.0016396998511791553,,0.009241175525143525
2015-06-15,0.0011142977330260706,,0.009008240439149566
2015-06-16,0.0029279095232345176,,0.008756864498710045
2015-06-17,0.002199327667759188,,0.00865247786830972
2015-06-18,0.003962486992138304,,0.008481987064797957
2015-06-19,0.0021857997469835414,,0.008527947349872667
2015-06-22,-0.007926663469289363,,0.00836144269795024
2015-06-23,-0.0038857914709241386,,0.009280156656945053
2015-06-24,-0.00015792016727835814,,0.009265905387317912
2015-06-25,-0.00135842897778653,,0.008984079276717813
2015-06-26,-0.0029649537445410436,,0.008744716305350342
2015-06-29,0.0035904282871767504,,0.00864502176376536
2015-06-30,-0.002831839625175414,,0.00862775509633954
2015-07-01,-0.0036134672521672467,,0.008519146078617416
2015-07-02,0.0007026509281262914,,0.00851241050009292
2015-07-06,0.004458385228997575,,0.008262795027021104
2015-07-07,-0.00013273522368810703,,0.008404269918605302
2015-07-08,-0.00215508126017121,,0.008148593050701576
2015-07-09,-0.004134785974460775,,0.007995228995641208
