Ticker,weight,component_volatility,pct_of_portfolio_volatility
SPY,0.2,0.0011682321134762587,0.2337640251922207
TLT,0.2,0.0010507208745906607,0.210249947903692
LQD,0.2,0.0008005699136439953,0.16019457375155619
GLD,0.2,0.0013564731181175981,0.27143117578975584
FXB,0.2,0.0006214885696656952,0.12436027736277534
