date,portfolio_volatility,average_correlation,pc1_variance_share,regime_stress_score,regime
2015-03-31,0.07730762914962265,0.231918868179572,0.49758274192040164,,
2015-04-01,0.07804107274812393,0.24297161943537043,0.4966524360802452,,
2015-04-02,0.07789086516415729,0.2522737740098312,0.49814915617283173,,
2015-04-06,0.07824892444441717,0.2546246763471618,0.49532386014717317,,
2015-04-07,0.07821945043456155,0.25855284561479003,0.48919259712729624,,
2015-04-08,0.07770025595160836,0.25866957459246737,0.4835963239229272,,
2015-04-09,0.07875548158062767,0.2650316765044647,0.4893755545094788,,
2015-04-10,0.07899020845583919,0.2637425536637652,0.48778251987641263,,
2015-04-13,0.07902094637388117,0.2653472365034922,0.4864375441293339,,
2015-04-14,0.07797961069381897,0.2759336079456585,0.4835228427498231,,
2015-04-15,0.07828626267766386,0.2903664913001799,0.4928782805861115,,
2015-04-16,0.07718173429438219,0.2860138525156753,0.4903631492285041,,
2015-04-17,0.07724092510688181,0.2829522701757378,0.49376678502331234,,
2015-04-20,0.0772761611593435,0.2878427812463235,0.49974615965324504,,
2015-04-21,0.07723432827298692,0.29496291507075895,0.5046022319708866,,
2015-04-22,0.07774306560970856,0.2886088287803436,0.503133263844971,,
2015-04-23,0.07807585866273556,0.2987994796970857,0.5032704951224553,,
2015-04-24,0.07811068615836761,0.3083516999472272,0.5063313585831294,,
2015-04-27,0.07775959906362824,0.30627482374558224,0.49936409888506855,,
2015-04-28,0.07630995706102144,0.3110347075725421,0.4850819687560919,,
2015-04-29,0.07692533159671223,0.3113115295986965,0.4817538255817161,,
2015-04-30,0.0775761018789337,0.338543330307982,0.49335232415783764,,
2015-05-01,0.07810530474418449,0.3296411090116288,0.49300161054766733,,
2015-05-04,0.07802678300852145,0.33260190945782814,0.49562756528634316,,
2015-05-05,0.07381168456699203,0.3056053535753308,0.4759165648671161,,
2015-05-06,0.0742287249532981,0.3020235056471242,0.4711055032429995,,
2015-05-07,0.07450451401886289,0.3035205639039918,0.46937601400809753,,
2015-05-08,0.0762479617373267,0.32092836024876903,0.47906927459187804,,
2015-05-11,0.0768867161055567,0.30693993040246553,0.4681571915459238,,
2015-05-12,0.07707471825401152,0.30944462576987763,0.47034591272320725,,
2015-05-13,0.07579303614096179,0.29842294899443855,0.4599268796412893,,
2015-05-14,0.07608192165825292,0.301347892487597,0.46089622528179197,,
2015-05-15,0.07681366273704668,0.2971111808933903,0.4579424444447716,,
